City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
152,Tocopilla,CL,63.61,clear sky,-22.092,-70.1979,Hotel Galvarino
153,Taltal,CL,61.03,clear sky,-25.4,-70.4833,Residencial Karime
154,Lundazi,ZM,64.36,overcast clouds,-12.2929,33.1782,Knox Lodge
156,Gamba,GA,76.48,overcast clouds,-2.65,10.0,
159,Carnarvon,AU,73.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
160,Mar Del Plata,AR,60.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
164,Sidney,AU,74.77,broken clouds,-33.8679,151.2073,The Grace Sydney
165,Ribeira Grande,PT,61.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
168,Dogondoutchi,NE,83.41,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
170,Chaiyaphum,TH,84.06,scattered clouds,15.75,102.0,BBM Hotel
173,Port Augusta,AU,81.77,clear sky,-32.5,137.7667,Majestic Oasis Apartments
174,Pisco,PE,66.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
175,Talavera,PH,86.45,broken clouds,15.6167,120.9333,R&G's Resort
176,Georgetown,MY,82.33,thunderstorm,5.4112,100.3354,Cititel Penang
177,Port Lincoln,AU,71.8,clear sky,-34.7333,135.8667,Port Lincoln Hotel
179,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
181,Senanga,ZM,69.66,overcast clouds,-16.1167,23.2667,Zango lodge
182,Saint-Paul,RE,77.36,light rain,-21.0096,55.2707,Boucan Canot
183,Imbituba,BR,63.82,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
184,Lalmohan,BD,83.03,broken clouds,22.3384,90.7419,Arifur Rahman Miraj
185,Sur,OM,87.37,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
186,Cabo San Lucas,MX,79.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
187,Bam,IR,74.03,few clouds,29.106,58.357,Bam Tourist Hotel
189,Eten,PE,67.21,overcast clouds,-6.9081,-79.8642,Hospedaje Sol Radiante
191,Tevaitoa,PF,82.02,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
192,Saint-Pierre,RE,76.91,clear sky,-21.3393,55.4781,Lindsey Hôtel
194,Los Llanos De Aridane,ES,60.55,clear sky,28.6585,-17.9182,Valle Aridane
196,Nushki,PK,73.22,clear sky,29.5542,66.0215,Shams hotel
198,Bubaque,GW,74.5,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
199,Dunedin,NZ,60.8,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
201,Emerald,AU,78.94,clear sky,-23.5333,148.1667,The Irish Village
203,Camopi,GF,72.95,overcast clouds,3.1655,-52.3158,La pousada
204,Esperance,AU,64.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
206,General Roca,AR,66.47,clear sky,-39.0333,-67.5833,Hotel El Recreo
209,La Romana,DO,77.36,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
213,Dinghai,CN,61.72,overcast clouds,26.2847,119.7936,Shanhai Hotel
214,Flinders,AU,74.05,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
217,Caravelas,BR,75.6,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
220,Isangel,VU,87.91,scattered clouds,-19.55,169.2667,Tanna Lodge
223,Jutai,BR,73.4,overcast clouds,-5.1833,-68.9,
226,Jalu,LY,76.32,overcast clouds,29.0331,21.5482,صاحبة الفخامة
227,Japura,ID,75.22,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
230,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
231,San Fernando,PH,76.73,scattered clouds,15.0286,120.6898,Maharlika Hostel
235,Manavalakurichi,IN,81.64,overcast clouds,8.1333,77.3,Jebinrio home
236,Bonito,BR,62.37,clear sky,-21.1211,-56.4819,Marruá Hotel
237,Salinopolis,BR,78.19,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
239,Port Hedland,AU,91.45,few clouds,-20.3167,118.5667,The Esplanade Hotel
241,La Trinidad,PH,71.91,scattered clouds,16.455,120.5875,Paladin Hotel
242,Guerrero Negro,MX,62.55,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
244,Faya,SA,68.11,few clouds,18.3851,42.4509,املاك خالد الشعشوع
