City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
51,Bredasdorp,ZA,2022-04-16 00:54:53,-34.5322,20.0403,57.97,61,98,10.71,overcast clouds,0.0,0.0
52,Laguna,US,2022-04-16 00:54:51,38.421,-121.4238,71.76,39,0,11.5,clear sky,0.0,0.0
53,Albany,US,2022-04-16 00:54:25,42.6001,-73.9662,59.45,37,71,1.01,broken clouds,0.0,0.0
54,Port Alfred,ZA,2022-04-16 00:54:54,-33.5906,26.891,59.9,70,100,6.08,light rain,0.0,0.0
55,Hithadhoo,MV,2022-04-16 00:54:54,-0.6,73.0833,82.51,69,35,2.35,scattered clouds,0.0,0.0
56,Kholm,RU,2022-04-16 00:54:55,59.2667,32.85,34.32,97,100,10.18,overcast clouds,0.0,0.0
57,New Norfolk,AU,2022-04-16 00:54:55,-42.7826,147.0587,61.66,58,100,1.01,overcast clouds,0.0,0.0
58,Thabazimbi,ZA,2022-04-16 00:54:13,-24.5917,27.4116,66.83,50,63,3.13,broken clouds,0.0,0.0
59,Torbay,CA,2022-04-16 00:54:55,47.6666,-52.7314,36.57,75,40,10.36,scattered clouds,0.0,0.0
60,Luwuk,ID,2022-04-16 00:54:56,-0.9516,122.7875,84.6,71,100,1.12,overcast clouds,0.0,0.0
61,Coelho Neto,BR,2022-04-16 00:54:56,-4.2567,-43.0128,73.54,99,100,2.46,overcast clouds,0.0,0.0
62,Lompoc,US,2022-04-16 00:54:57,34.6391,-120.4579,66.02,83,100,17.0,mist,0.0,0.0
63,Nouadhibou,MR,2022-04-16 00:54:57,20.931,-17.0347,62.58,94,0,11.5,clear sky,0.0,0.0
64,Laredo,US,2022-04-16 00:54:57,27.5064,-99.5075,88.09,55,0,14.97,clear sky,0.0,0.0
65,Buraydah,SA,2022-04-16 00:54:58,26.326,43.975,73.85,42,0,9.86,clear sky,0.0,0.0
66,Vestmannaeyjar,IS,2022-04-16 00:54:58,63.4427,-20.2734,47.14,86,28,34.14,scattered clouds,0.0,0.0
67,Lebu,CL,2022-04-16 00:54:58,-37.6167,-73.65,52.84,90,4,12.28,clear sky,0.0,0.0
68,Arraial Do Cabo,BR,2022-04-16 00:50:01,-22.9661,-42.0278,72.88,67,1,20.94,clear sky,0.0,0.0
69,San Andres,CO,2022-04-16 00:50:13,12.5847,-81.7006,82.42,74,20,9.22,few clouds,0.0,0.0
70,Izumo,JP,2022-04-16 00:55:00,35.3667,132.7667,55.29,54,75,17.27,broken clouds,0.0,0.0
71,Beringovskiy,RU,2022-04-16 00:55:01,63.05,179.3167,32.27,97,100,22.86,light snow,0.0,0.0
72,Rikitea,PF,2022-04-16 00:55:01,-23.1203,-134.9692,77.58,72,3,14.32,clear sky,0.0,0.0
73,Ancud,CL,2022-04-16 00:52:26,-41.8697,-73.8203,55.22,91,28,4.09,scattered clouds,0.0,0.0
74,Pitimbu,BR,2022-04-16 00:55:02,-7.4706,-34.8086,81.19,83,82,9.8,broken clouds,0.0,0.0
75,Chetumal,MX,2022-04-16 00:50:34,18.5,-88.3,80.62,70,8,11.59,clear sky,0.0,0.0
76,Butaritari,KI,2022-04-16 00:55:02,3.0707,172.7902,81.77,73,34,11.18,light rain,0.0,0.0
77,Zemio,CF,2022-04-16 00:55:03,5.0314,25.1361,69.55,92,100,4.5,overcast clouds,0.0,0.0
78,Buin,CL,2022-04-16 00:55:03,-33.7333,-70.75,64.06,57,2,2.19,clear sky,0.0,0.0
79,Ponta Do Sol,PT,2022-04-16 00:55:03,32.6667,-17.1,64.71,60,98,4.18,overcast clouds,0.0,0.0
80,Bluff,NZ,2022-04-16 00:55:04,-46.6,168.3333,53.8,65,28,35.21,scattered clouds,0.0,0.0
81,Kodinar,IN,2022-04-16 00:55:04,20.7903,70.7031,77.99,74,0,8.25,clear sky,0.0,0.0
82,Kapaa,US,2022-04-16 00:55:05,22.0752,-159.319,82.38,73,100,3.0,overcast clouds,0.0,0.0
83,Kroya,ID,2022-04-16 00:55:05,-7.6331,109.2461,81.36,80,63,1.81,broken clouds,0.0,0.0
84,Sambava,MG,2022-04-16 00:55:05,-14.2667,50.1667,77.0,87,82,11.36,moderate rain,0.0,0.0
85,Lindi,TZ,2022-04-16 00:55:06,-10.0,39.7167,73.35,98,94,4.45,overcast clouds,0.0,0.0
86,Shubarshi,KZ,2022-04-16 00:55:06,48.5872,57.1869,44.78,72,70,6.55,broken clouds,0.0,0.0
87,Qaanaaq,GL,2022-04-16 00:55:06,77.484,-69.3632,-5.78,94,100,5.12,overcast clouds,0.0,0.0
88,Khatanga,RU,2022-04-16 00:55:07,71.9667,102.5,19.81,84,100,10.29,overcast clouds,0.0,0.0
89,Espoo,FI,2022-04-16 00:55:07,60.25,24.6667,34.07,72,0,8.05,clear sky,0.0,0.0
90,Grand Gaube,MU,2022-04-16 00:55:08,-20.0064,57.6608,76.37,84,54,10.0,light rain,0.0,0.0
91,Mahon,ES,2022-04-16 00:55:08,39.8885,4.2658,52.36,93,0,3.44,clear sky,0.0,0.0
92,Kabare,CD,2022-04-16 00:55:08,-2.4683,28.8242,62.31,99,100,1.03,heavy intensity rain,0.0,0.0
93,Okahandja,NA,2022-04-16 00:55:09,-21.9833,16.9167,61.14,56,34,1.5,scattered clouds,0.0,0.0
94,Antsohihy,MG,2022-04-16 00:55:09,-14.8796,47.9875,77.41,72,0,8.34,clear sky,0.0,0.0
95,Nikolskoye,RU,2022-04-16 00:55:09,59.7035,30.7861,37.87,88,86,11.7,overcast clouds,0.0,0.0
96,Katsuura,JP,2022-04-16 00:55:10,35.1333,140.3,52.25,80,100,23.11,overcast clouds,0.0,0.0
97,Anadyr,RU,2022-04-16 00:55:10,64.75,177.4833,34.3,80,75,22.37,light snow,0.0,0.0
98,Kaitangata,NZ,2022-04-16 00:55:11,-46.2817,169.8464,57.27,50,4,20.22,clear sky,0.0,0.0
99,Narsaq,GL,2022-04-16 00:55:11,60.9167,-46.05,25.32,76,93,1.19,overcast clouds,0.0,0.0
100,Atuona,PF,2022-04-16 00:55:11,-9.8,-139.0333,79.18,77,16,15.7,few clouds,0.0,0.0
101,Sitka,US,2022-04-16 00:50:35,57.0531,-135.33,46.29,57,0,17.27,clear sky,0.0,0.0
102,Faanui,PF,2022-04-16 00:55:12,-16.4833,-151.75,82.4,69,0,16.08,clear sky,0.0,0.0
103,Belle Fourche,US,2022-04-16 00:55:12,44.6714,-103.8522,30.33,48,99,10.31,overcast clouds,0.0,0.0
104,Plettenberg Bay,ZA,2022-04-16 00:50:23,-34.0527,23.3716,58.05,72,94,7.27,overcast clouds,0.0,0.0
105,Dolores,AR,2022-04-16 00:55:13,-36.3132,-57.6792,51.73,91,0,7.14,clear sky,0.0,0.0
106,Iskateley,RU,2022-04-16 00:55:13,67.6803,53.1512,5.88,96,35,6.31,scattered clouds,0.0,0.0
107,Bethel,US,2022-04-16 00:55:13,41.3712,-73.414,58.35,43,0,8.99,clear sky,0.0,0.0
108,Zhigansk,RU,2022-04-16 00:55:14,66.7697,123.3711,8.47,88,74,11.79,broken clouds,0.0,0.0
109,Berlevag,NO,2022-04-16 00:55:14,70.8578,29.0864,37.2,98,100,21.7,overcast clouds,0.0,0.0
110,Rawah,IQ,2022-04-16 00:55:14,34.4816,41.9093,60.64,26,0,6.08,clear sky,0.0,0.0
111,Chuy,UY,2022-04-16 00:51:11,-33.6971,-53.4616,62.01,68,81,6.93,broken clouds,0.0,0.0
112,Saint George,US,2022-04-16 00:53:36,37.1041,-113.5841,77.63,16,0,9.22,clear sky,0.0,0.0
